address,postcode,price,bedrooms,bathrooms,area_in_sqft,link
"420 S  Duncan St, Baltimore, MD 21231",21230,285000,3,2,1478,https://www.trulia.com/home/420-s-duncan-st-baltimore-md-21231-36429026
"2124 Fleet St, Baltimore, MD 21231",21229,480000,3,4,2460,https://www.trulia.com/home/2124-fleet-st-baltimore-md-21231-36429142
"727 S  Linwood Ave, Baltimore, MD 21224",21225,529900,3,3,1992,https://www.trulia.com/home/727-s-linwood-ave-baltimore-md-21224-36431947
"2110 Cliftwood Ave, Baltimore, MD 21213",21224,90000,3,1,NaN,https://www.trulia.com/home/2110-cliftwood-ave-baltimore-md-21213-36448189
"700 E  35th St, Baltimore, MD 21218",21224,235000,3,2,1320,https://www.trulia.com/home/700-e-35th-st-baltimore-md-21218-36465491
"2644 Guilford Ave, Baltimore, MD 21218",21224,259000,3,1,1896,https://www.trulia.com/home/2644-guilford-ave-baltimore-md-21218-36474962
"2920 Parkwood Ave, Baltimore, MD 21217",21213,267000,3,NaN,1956,https://www.trulia.com/home/2920-parkwood-ave-baltimore-md-21217-36481471
"2024 Park Ave, Baltimore, MD 21217",21213,365000,5,NaN,3450,https://www.trulia.com/home/2024-park-ave-baltimore-md-21217-36483378
"502 Laurens St, Baltimore, MD 21217",21213,164990,2,4,1670,https://www.trulia.com/home/502-laurens-st-baltimore-md-21217-36487740
"1803 Moreland Ave, Baltimore, MD 21216",21206,159900,3,3,NaN,https://www.trulia.com/home/1803-moreland-ave-baltimore-md-21216-36492149
"2504 N  Longwood St, Baltimore, MD 21216",21214,149900,4,2,1400,https://www.trulia.com/home/2504-n-longwood-st-baltimore-md-21216-36500184
"3038 Brighton St, Baltimore, MD 21216",21214,60000,3,1,1226,https://www.trulia.com/home/3038-brighton-st-baltimore-md-21216-36512260
"1823 Ramsay St, Baltimore, MD 21223",21215,142000,3,2,NaN,https://www.trulia.com/home/1823-ramsay-st-baltimore-md-21223-36520116
"138 W  Clement St, Baltimore, MD 21230",21215,475000,3,4,1968,https://www.trulia.com/home/138-w-clement-st-baltimore-md-21230-36537079
"3504 Mactavish Ave, Baltimore, MD 21229",21239,229000,2,2,1440,https://www.trulia.com/home/3504-mactavish-ave-baltimore-md-21229-36543755
"1634 Hazel St, Baltimore, MD 21226",21230,55000,NaN,NaN,1120,https://www.trulia.com/home/1634-hazel-st-baltimore-md-21226-36553766
"5602 Wexford Rd, Baltimore, MD 21209",21230,500000,4,2,1792,https://www.trulia.com/home/5602-wexford-rd-baltimore-md-21209-36593789
"4920 Chalgrove Ave, Baltimore, MD 21215",21230,75000,3,2,1110,https://www.trulia.com/home/4920-chalgrove-ave-baltimore-md-21215-36595984
